name,sportId,marketName,bookmaker,secondBookmaker
NFL,2,Player Props,draftkings,
NFL,2,Player Passing Attempts,pinnacle,
NFL,2,Player Passing Completions,pinnacle,
NFL,2,Player Passing Touchdowns,pinnacle,
NFL,2,Player Passing Yards,pinnacle,
NFL,2,Player Receiving Yards,pinnacle,
NFL,2,Player Receptions,pinnacle,
NFL,2,Player Rushing Attempts,pinnacle,
NFL,2,Player Rushing Yards,pinnacle,
NFL,2,Player Touchdowns,pinnacle,
NFL,2,Will There Be Overtime,draftkings,
NFL,2,1st Quarter Both Teams To Score,draftkings,
NFL,2,Moneyline 3-Way,betano,
MLB,3,Player Props,draftkings,
MLB,3,Player Hits,draftkings,
MLB,3,Player Hits Allowed,draftkings,
MLB,3,Player Home Runs,pinnacle,
MLB,3,Player Outs,draftkings,
MLB,3,Player Strikeouts,blue book,
MLB,3,Player Bases,draftkings,
MLB,3,Player Earned Runs,draftkings,
MLB,3,Player Batting Strikeouts,draftkings,
MLB,3,Player Stolen Bases,blue book,
MLB,3,Player Batting Walks,draftkings,
MLB,3,Will There Be Overtime,draftkings,
MLB,3,1st 3 Innings Run Line,draftkings,
MLB,3,1st 3 Innings Team Total,draftkings,
MLB,3,1st 3 Innings Correct Score,draftkings,
MLB,3,1st 7 Innings Moneyline,draftkings,
MLB,3,1st 7 Innings Run Line,draftkings,
MLB,3,1st 7 Innings Team Total,draftkings,
MLB,3,1st 7 Innings Correct Score,draftkings,
MLB,3,1st Half Correct Score,draftkings,
NCAAB,5,Player Props,betmgm,
NCAAB,5,Player Blocks,betano,
NCAAB,5,Player Steals,betano,
NCAAB,5,Player Turnovers,betano,
NCAAW,20211,Player Props,DraftKings,
Euroleague,399,Player Props,sportzino,
Euroleague,399,Player Turnovers,sportzino,
FIBA - EuroBasket,20224,Player Props,betano,
NBA,4,Player Props,superbet,draftkings
NBA,4,Total Assists,superbet,
NBA,4,Total Steals,superbet,
NBA,4,Total Blocks,superbet,
NBA,4,Total Made Threes,superbet,
NBA,4,Team Total Made Threes,superbet,
NHL,6,Player Props,espn bet,
NHL,6,Player Blocked Shots,DraftKings,
NHL,6,1st Period Moneyline 3-Way,DraftKings,
NHL,6,1st Period Total Goals Odd/Even,DraftKings,
NHL,6,2nd Period Total Goals Odd/Even,DraftKings,
NHL,6,3rd Period Total Goals Odd/Even,DraftKings,
NHL,6,Both Teams To Score,espn bet,
NHL,6,1st Period Double Chance,unibet,
NHL,6,2nd Period Double Chance,unibet,
NHL,6,Team To Score,pinnacle,
NHL,6,Team To Win To Nil,pinnacle,
WNBA,8,Player Props,blue book,
WNBA,8,Player Blocks,betano,
WNBA,8,Player Steals,betano,
WNBA,8,Player Steals + Blocks,betano,
WNBA,8,Player Rebounds + Assists,betano,
WNBA,8,Player Points + Rebounds,betano,
WNBA,8,Player Points + Assists,betano,
WNBA,8,Player Triple Double,betano,
WNBA,8,Player Turnovers,betano,
WNBA,8,Player Free Throws Attempted,betano,
WNBA,8,Player Free Throws Made,betano,
WNBA,8,Player Field Goals Attempted,betano,
WNBA,8,Player Field Goals Made,betano,
WNBA,8,Player Threes Attempted,betano,
WNBA,8,Player Two Pointers Attempted,betano,
WNBA,8,Player Made Two Pointers,betano,
WNBA,8,Player Fouls,betano,
NCAAF,1,Player Props,blue book,
WTA,152,Player Props,blue book,
WTA,152,Player Break Points Won,PrizePicks,
ATP,156,Player Props,blue book,
WTA,152,Correct Score,Draftkings,
ATP,156,Correct Score,Draftkings,
ATP,156,1st Set Correct Score,draftkings,
