name,sportId,marketName,bookmaker,secondBookmaker
UFC,7,Player Props,draftkings,
UFC,7,Method of Victory,draftkings,
UFC,7,Go The Distance,draftkings,
UFC,7,Point Spread,draftkings,
NCAAF,1,Player Props,blue book,
NCAAF,1,Player Kicking Points,betano,
NCAAF,1,Player Interceptions,betano,
NFL,2,Player Props,pinnacle,
NFL,2,Player Tackles,draftkings,
NFL,2,Player Sacks,draftkings,
NFL,2,Player Touchdowns,blue book,
NFL,2,Anytime Touchdown Scorer,blue book,
NFL,2,Player Kicking Points,betmgm,
NFL,2,Player Interceptions,draftkings,
NFL,2,Player Field Goals Made,draftkings,
NFL,2,Player Extra Points Made,betmgm,
NFL,2,Player Longest Passing Completion,betmgm,
NFL,2,Player Longest Reception,betmgm,
NFL,2,Player Longest Rush,betmgm,
NFL,2,Player Rushing + Receiving Yards,betmgm,
NFL,2,Will There Be Overtime,draftkings,
NFL,2,1st Quarter Both Teams To Score,draftkings,
NFL,2,Moneyline 3-Way,XXX,
NFL,2,1st Quarter Total Points Odd/Even,opticodds ai,
NFL,2,1st Half Total Points Odd/Even,opticodds ai,
NFL,2,Total Points Odd/Even,opticodds ai,
MLB,3,Player Props,blue book,
MLB,3,Player Home Runs,draftkings,
MLB,3,Player Outs,draftkings,
MLB,3,Player Hits Allowed,draftkings,
MLB,3,Player Earned Runs,draftkings,
MLB,3,Player Batting Strikeouts,draftkings,
MLB,3,Player Batting Walks,draftkings,
NCAAB,5,Player Props,blue book,
NCAAW,20211,Player Props,blue book,
MLB,3,Will There Be Overtime,draftkings,
MLB,3,1st 3 Innings Run Line,draftkings,
MLB,3,1st 3 Innings Team Total,draftkings,
MLB,3,1st 3 Innings Correct Score,draftkings,
MLB,3,1st 7 Innings Moneyline,draftkings,
MLB,3,1st 7 Innings Run Line,draftkings,
MLB,3,1st 7 Innings Team Total,draftkings,
MLB,3,1st 7 Innings Correct Score,draftkings,
MLB,3,1st Half Correct Score,draftkings,
Euroleague,399,Player Props,bwin,
NBA,4,Will There Be Overtime,blue book,
NBA,4,First Team To Score,blue book,
NBA,4,Player Props,pinnacle,
NBA,4,Player Triple Double,blue book,
NBA,4,Player Double Double,blue book,
NBA,4,Player Blocks,blue book,
NBA,4,Player Steals,blue book,
NBA,4,Player Blocks + Steals,blue book,
NBA,4,Player Points + Rebounds + Assists,blue book,
NBA,4,Player Points + Rebounds,blue book,
NBA,4,Player Points + Assists,blue book,
NBA,4,Player Rebounds + Assists,blue book,
NBA,4,Total Assists,superbet,
NBA,4,Team Total Assists,superbet,
NBA,4,Total Steals,superbet,
NBA,4,Team Total Steals,superbet,
NBA,4,Total Blocks,superbet,
NBA,4,Team Total Blocks,superbet,
NBA,4,Total Fouls,betano,
NBA,4,Team Total Fouls,betano,
NBA,4,Total Made Threes,superbet,
NBA,4,Team Total Made Threes,superbet,
NBA,4,Player Turnovers,superbet,
NBA,4,Player Two Pointers Attempted,superbet,
NBA,4,Player Threes Attempted,superbet,
NBA,4,Player Made Two Pointers,superbet,
NBA,4,Player Free Throws Made,superbet,
NBA,4,Player Free Throws Attempted,superbet,
NBA,4,Player Fouls,superbet,
NBA,4,Player Field Goals Made,superbet,
NBA,4,Player Field Goals Attempted,superbet,
NHL,6,Player Props,pinnacle,
NHL,6,Player Blocked Shots,DraftKings,
