 botName,sportIds,ppOptionsId,daysInFront,frequency,wallet,comment
overtime-puller-enetpulse-tennis,153 156,,1,15s,0x0dB6b60db480B7E9db4d0d2ac90608bebD4Da822,
overtime-puller-enetpulse-esports-cs,9977,,4,15s,0x8561Dc58DaD01D19Fa68966f8006C672de1814Fa, same wallet for all esports
overtime-puller-enetpulse-esports-dota,9983,,4,15s,0x8561Dc58DaD01D19Fa68966f8006C672de1814Fa, same wallet for all esports
overtime-puller-enetpulse-esports-lol,10138,,4,15s,0x8561Dc58DaD01D19Fa68966f8006C672de1814Fa, same wallet for all esports
overtime-puller-enetpulse-basketball,406 407,,3,15s,0xC3b6d636C12A8eB8Fc55F654dB6e5305f9c5C12A, inactive - use opticodds
overtime-puller-opticodds-ncaaf,NCAAF (1),,3,15s,0xECB7e6B4Fbc7abB1979AF46388D4c764b55B7dd6,
overtime-puller-opticodds-nfl,NFL (2),,6,1m,0xfF238Ff05A383449ceECf4Bce525B71B7bc09e4a,
overtime-puller-opticodds-mlb,MLB (3),12 19 47,1,15s,0x13a680721c56038C81B1aa39f4d1D79ca22B12b3,
overtime-puller-opticodds-ufc,UFC (7),,5,15s,0x8B408EfA4A738a749EEfF612778a419B41167f48,
overtime-puller-opticodds-wnba,WNBA (8),,3,15s,0xDe877F209fE2945AB48f058395749AD443f6B43C,
overtime-puller-opticodds-mls,USA - Major League Soccer (10),,5,15s,0xFA8D284734aB97cf02d7bFC2174E6450e1e73e99, 
overtime-puller-opticodds-epl,England - Premier League (11),,5,15s,0x6640Ec4b1d139AfDE7b7AD22582DAAe30E8A3e01, 
overtime-puller-opticodds-fra,France - Ligue 1 (12),,5,15s,0x42Fa56307C5d939a482317c49339f535fF5797Cf,
overtime-puller-opticodds-germany,Germany - Bundesliga (13),,5,15s,0x18bEa3f2391ff4E3b6c4Ad9ff11f30f16d8A34d6,
overtime-puller-opticodds-esp,Spain - La Liga (14),,5,15s,0x5FcA00fdaaD9E4B8c6Ae8a4264C61dF54e022833,
overtime-puller-opticodds-ita,Italy - Serie A (15),,5,15s,0xD667eD25A7b3f8629Fece1A1cCE2FD591A6731D1,
overtime-puller-opticodds-ucl,UEFA - Champions League (16),,7,15s,0x2B5eab064F8B4dB23aAab03365D120c839124413,
overtime-puller-opticodds-europa-league,UEFA - Europa League (17),,5,15s,0x05249Ab941CFa4690851c237A467E1e724019394,inactive
overtime-puller-opticodds-fifa-wc,FIFA - World Cup Qualifiers (18),,5,15s,0xECD83Cf92F4977A6a0926da965b0028040531190,
overtime-puller-opticodds-j1,Japan - J1 League (19),,3,15s,0x44a8fcfC43b6c82263d4117E33172613DAe0229a, 
overtime-puller-opticodds-copa-libertadores,CONMEBOL - Copa Libertadores (45),,5,15s,0x1EfF259E0d1a75F798BEF4Ba2E3e0F48a3A67eD1,
overtime-puller-opticodds-mx,Mexico - Liga MX (230),,5,15s,0x0Ce2051f2EE19610941Cca6A45A7c6662F9f0108,
overtime-puller-opticodds-bra,Brazil - Serie A (268),,5,15s,0xe5fCBb61EcD215152A38dB309CCddDBF1c7E5A37,
overtime-puller-opticodds-saudi,Saudi Arabia - Saudi League (536),,5,15s,0x7138ae438D12B3272a4825D73AF3eE8cA7F1f82c,
overtime-puller-opticodds-scottland,Scotland - Premiership (20101),,5,15s,0x6782c82de4d258575621accfa244dec5144ac4ec,
overtime-puller-opticodds-turkey,Turkey - Super Lig (20108),,5,15s,0x8222b4cb28a14743f13f825b1788bd74f24b5a97,
overtime-puller-opticodds-belgium,Belgium - Jupiler Pro League (20102),,5,15s,0x6ec7dc7121c0eb671704c96a049189e5de2a0307,
overtime-puller-opticodds-austria,Austria - Bundesliga (20120),,5,15s,0xe7e408df0148673ed963fe2e32b72638277ec158,
overtime-puller-opticodds-china,China - Super League (20112),,5,15s,0x0d92cc47d04a4683bacab034d757cd8b4c2fa2d7,
overtime-puller-opticodds-swiss,Switzerland - Super League (20114),,5,15s,0x79b78bcae8c343998d9f6c29d65147e9d569714a,
overtime-puller-opticodds-argentina,Argentina - Primera Division (20106),,5,15s,0xaa9c97daa593e4171adac3ef960f99b96ff59ed6,
overtime-puller-opticodds-uefa-nations,UEFA - Nations League (9806),,5,15s,0x4ef22b2132eF6b497e8Da56EFc1e440FbA6B24e9, 
overtime-puller-opticodds-conference-league,UEFA - Europa Conference League (10216),,5,15s,0xA635170ceA886BD548117e662D42Eb28d78F0d83,inactive
overtime-puller-opticodds-en-championship,England - Championship (20011),,5,15s,0x1932BEd29Ee58C26072F8Ac3456A11CD39c8Cab8,
overtime-puller-opticodds-copa-brasil,Brazil - Copa do Brasil (20002),,5,15s,0xECD83Cf92F4977A6a0926da965b0028040531190,
overtime-puller-opticodds-us-elections,US Elections (20000),,X,15s,0x1932BEd29Ee58C26072F8Ac3456A11CD39c8Cab8,
overtime-puller-opticodds-supercup,UEFA - Super Cup (20001),,8,15s,0x18bEa3f2391ff4E3b6c4Ad9ff11f30f16d8A34d6, inactive
overtime-resolver-enetpulse-v2,11 42 45 47 53 54 55 57 61 73 87 132 141 268 153 536 10216,,-2,1hr,0xcC97993365989c6Cb15503d088A9270Eb39d2FfE,
overtime-resolver-rundown-v2,3 4 6 7 10 17 19 21 20,,-2,1hr,0xcC97993365989c6Cb15503d088A9270Eb39d2FfE,
