sportName,sportId,minLimit,pushLimitThreshold,primaryMarket,secondaryMarket,thirdMarket,pushSportCapIfAbove,limitInRangeMultiplier,limitSportMultiplier,pushLimitForTypeIds,fetchLiveMarkets
PFL,9,100,250,Moneyline,Total Rounds,,false,2,1,0;10001,false
Davis Cup,154,300,400,Moneyline,Game Spread,Total Games,true,1.5,1,0;10001;10002,false
ITF Women,155,300,400,Moneyline,Game Spread,Total Games,true,1.5,1,0;10001;10002,false
ITF Men,159,300,400,Moneyline,Game Spread,Total Games,true,1.5,1,0;10001;10002,false
CS2,9977,50,500,Moneyline,Map Handicap,Total Maps,false,7,7,0;10001;10002,false
Dota 2,9983,50,500,Moneyline,Map Handicap,Total Maps,false,7,7,0;10001;10002,false
League of Legends,10138,50,1500,Moneyline,Map Handicap,Total Maps,false,7,7,0;10001;10002,false
Rainbow Six Siege,20293,50,150,Moneyline,,,true,2,1,0,false
Starcraft 2,20294,50,150,Moneyline,Map Handicap,Total Maps,true,2,1,0;10001;10002,false
Mobile Legends Bang Bang,20295,50,150,Moneyline,Map Handicap,Total Maps,true,2,1,0;10001;10002,false
Overwatch,20296,50,150,Moneyline,,,true,2,1,0,false
Rocket League,20297,50,150,Moneyline,,,true,2,1,0,false
Call of Duty,20298,50,150,Moneyline,,,true,3,1,0,false
Valorant,20300,50,200,Moneyline,Map Handicap,Total Maps,true,2,3,0;10001;10002,false
International - Club Friendlies,20584,100,500,Moneyline,Total Goals,Asian Handicap,false,2,1,0;10001,false
International - Friendlies,20585,100,500,Moneyline,Total Goals,Asian Handicap,false,2,1,0;10001,false
FIFA - World Cup Qualifiers,18,100,3000,Moneyline,Total Goals,Asian Handicap,false,1,1,0;10001;10002,false
UEFA - Nations League,9806,100,3000,Moneyline,Total Goals,Asian Handicap,false,1,1,0;10001;10002,false
