sportName,sportId,primaryBookmaker,secondaryBookmaker,tertiaryBookmaker
Tennis Masters,156,draftkings,,
Tennis Grand Slam,153,bovada,,
Tennis WTA,152,bovada,,
Brazil cup,20002,bovada,,
MLS,10,draftkings,bovada,
EPL,11,draftkings,bovada,
FRA1,12,draftkings,bovada,
GER1,13,draftkings,bovada,
La Liga,14,draftkings,bovada,
Seria A,15,draftkings,bovada,
UEFA champions League,16,draftkings,bovada,
UEFA Europa League,17,draftkings,bovada,
JPN1,19,draftkings,bovada,
Copa Libertadores,45,draftkings,bovada,
NET1,57,draftkings,bovada,
POR1,61,bovada,pinnacle,
Brazil,268,draftkings,bovada,
Saudi League,536,draftkings,,
UEFA Conference League,10216,draftkings,,
CS2,9977,betwhale,,
Dota 2,9983,betwhale,,
LOL,10138,betwhale,,
