sportName,sportId,primaryBookmaker,secondaryBookmaker,tertiaryBookmaker
NCAAF,1,blue book,,
NFL,2,pinnacle,,
MLB,3,pinnacle,,
WNBA,8,pinnacle,,
Tennis Masters,156,draftkings,,
Tennis Grand Slam,153,draftkings,,
Tennis WTA,152,draftkings,,
Tennis challenger,157,draftkings,,
CS2,9977,thunderpick,,
Dota 2,9983,thunderpick,,
LOL,10138,thunderpick,,
Valorant,20300,thunderpick,,
COD,20298,thunderpick,,
OVERWATCH,20296,thunderpick,,
Russia - Premier League,20107,pinnacle,,
College Baseball,303,blue book,,
NRL,9500,BetMGM (UK),,
England - Super League,9501,BetMGM (UK),,
Oceania - Super Rugby,9502,BetMGM (UK),,
International - Six Nations,9503,BetMGM (UK),,
AFL,9510,BetMGM (UK),,
KHL,321,pinnacle,,
FIVB - Nations League,20420,pinnacle,,
FIVB - Nations League Women,20421,pinnacle,,
FIVB - World Championship Women,20440,pinnacle,,
FIBA - Eurobasket Women,20220,pinnacle,,
Philippines - Phillipine Cup,20221,pinnacle,,
FIBA - World Cup U19,20222,pinnacle,,
NPB,301,pinnacle,,
Net1,57,pinnacle,,
