name,sportId,typeId,marketName,type,enabled,minOdds,maxOdds,addedSpread,primaryBookmaker,secondaryBookmaker
MLS,10,0,Moneyline,Moneyline,true,0.95,0.05,0,,
MLS,10,10001,Asian Handicap,Spread,true,0.95,0.05,0,draftkings,1xbet
MLS,10,10002,Total Goals,Total,true,0.95,0.05,0,,
MLS,10,10003,Double Chance,Double Chance,true,0.99,0.01,0,draftkings,betano
MLS,10,10009,Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,draftkings,betano
MLS,10,10010,Draw No Bet,Moneyline,true,0.95,0.05,0,draftkings,betano
MLS,10,10015,1st Half Double Chance,Double Chance,true,0.95,0.05,0,draftkings,betano
MLS,10,10016,2nd Half Double Chance,Double Chance,true,0.95,0.05,0,draftkings,betano
MLS,10,10017,Team Total,Total,true,0.95,0.05,0,,
MLS,10,10018,Team Total,Total,true,0.95,0.05,0,,
MLS,10,10021,1st Half Moneyline,Moneyline,true,0.99,0.01,0,,
MLS,10,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01,0,,
MLS,10,10031,1st Half Total Goals,Total,true,0.95,0.05,0,,
MLS,10,10032,2nd Half Total Goals,Total,true,0.95,0.05,0,,
MLS,10,10100,Correct Score,Correct Score,true,0.99,0.01,0,draftkings,betano
MLS,10,10101,1st Half Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,,
MLS,10,10102,2nd Half Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,,
MLS,10,10111,1st Half Team Total,Total,true,0.95,0.05,0,,
MLS,10,10112,1st Half Team Total,Total,true,0.95,0.05,0,,
MLS,10,10121,1st Half Draw No Bet,Moneyline,true,0.95,0.05,0,,
MLS,10,10122,2nd Half Draw No Bet,Moneyline,true,0.95,0.05,0,,
MLS,10,10163,1st Half Correct Score,Correct Score,true,0.99,0.01,0,draftkings,
MLS,10,10164,2nd Half Correct Score,Correct Score,true,0.99,0.01,0,draftkings,
MLS,10,10211,2nd Half Team Total,Total,true,0.95,0.05,0,,
MLS,10,10212,2nd Half Team Total,Total,true,0.95,0.05,0,,
MLS,10,10222,Total Corners,Total,true,0.95,0.05,0,pinnacle,betano
MLS,10,10223,Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,10224,Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,10226,1st Half Total Corners,Total,true,0.95,0.05,0,pinnacle,betano
MLS,10,10227,2nd Half Total Corners,Total,true,0.95,0.05,0,pinnacle,betano
MLS,10,10228,1st Half Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,10229,1st Half Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,10230,2nd Half Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,10231,2nd Half Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
MLS,10,11100,Player Goals,Total,true,0.95,0.10,0,draftkings,betano
MLS,10,10242,Total Card Points,Total,true,0.95,0.05,0,draftkings,betano
MLS,10,10243,Team Total Card Points,Total,true,0.95,0.05,0,draftkings,betano
MLS,10,10244,Team Total Card Points,Total,true,0.95,0.05,0,draftkings,betano
EPL,11,0,Moneyline,Moneyline,true,0.95,0.05,0,,
EPL,11,10001,Asian Handicap,Spread,true,0.95,0.05,0,blue book,1xbet
EPL,11,10002,Total Goals,Total,true,0.95,0.05,0,,
EPL,11,10003,Double Chance,Double Chance,true,0.99,0.01,0,blue book,betano
EPL,11,10009,Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,blue book,betano
EPL,11,10010,Draw No Bet,Moneyline,true,0.95,0.05,0,blue book,betano
EPL,11,10015,1st Half Double Chance,Double Chance,true,0.95,0.05,0,blue book,betano
EPL,11,10016,2nd Half Double Chance,Double Chance,true,0.95,0.05,0,blue book,betano
EPL,11,10017,Team Total,Total,true,0.95,0.05,0,,
EPL,11,10018,Team Total,Total,true,0.95,0.05,0,,
EPL,11,10021,1st Half Moneyline,Moneyline,true,0.99,0.01,0,,
EPL,11,10022,2nd Half Moneyline,Moneyline,true,0.99,0.01,0,,
EPL,11,10031,1st Half Total Goals,Total,true,0.95,0.05,0,,
EPL,11,10032,2nd Half Total Goals,Total,true,0.95,0.05,0,,
EPL,11,10100,Correct Score,Correct Score,true,0.99,0.01,0,blue book,betano
EPL,11,10101,1st Half Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,,
EPL,11,10102,2nd Half Both Teams To Score,Both Teams To Score,true,0.95,0.05,0,,
EPL,11,10111,1st Half Team Total,Total,true,0.95,0.05,0,,
EPL,11,10112,1st Half Team Total,Total,true,0.95,0.05,0,,
EPL,11,10121,1st Half Draw No Bet,Moneyline,true,0.95,0.05,0,,
EPL,11,10122,2nd Half Draw No Bet,Moneyline,true,0.95,0.05,0,,
EPL,11,10163,1st Half Correct Score,Correct Score,true,0.99,0.01,0,blue book,
EPL,11,10164,2nd Half Correct Score,Correct Score,true,0.99,0.01,0,blue book,
EPL,11,10211,2nd Half Team Total,Total,true,0.95,0.05,0,,
EPL,11,10212,2nd Half Team Total,Total,true,0.95,0.05,0,,
EPL,11,10222,Total Corners,Total,true,0.95,0.05,0,pinnacle,betano
EPL,11,10223,Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
EPL,11,10224,Team Total Corners,Total,true,0.95,0.05,0,pinnacle,
