sportName,sportId,delayInSeconds,delayInSecondsOptimism,delayInSecondsArbitrum,delayInSecondsBase,delayInSecondsMolly
NCAAF,1,5,3,7,5,3
NFL,2,5,3,7,5,3
MLB,3,5,3,7,5,3
NBA,4,5,3,7,5,3
Euroleague,399,5,3,7,5,3
NCAAB,5,3,6,7,5,3
NCAAW,20211,5,3,6,5,3
NHL,6,5,3,7,5,3
WNBA,8,5,3,6,5,3
MLS,10,5,3,6,5,3
eurobasket,20224,5,3,6,5,3
EPL,11,5,3,6,5,3
FRA1,12,5,3,6,5,3
GER1,13,5,3,6,5,3
ESP1,14,5,3,6,5,3
ITA1,15,5,3,6,5,3
UEFA CL,16,5,3,6,5,3
UEFA EL,17,5,3,6,5,3
UEFA Conference,10216,5,3,6,5,3
FIFA Q,18,5,3,6,5,3
NET1,57,5,3,6,5,3
POR1,61,5,3,6,5,3
Brazil,268,5,3,6,5,3
UEFA Nations League,9806,5,3,6,5,3
Copa Libertadores,45,5,3,6,5,3
Brazil - Copa do Brasil,20002,5,3,6,5,3
England - Championship,20011,5,3,6,5,3
England - League 1,20126,5,3,6,5,3
Austria league 1,20120,5,3,6,5,3
JPN1,19,5,3,6,5,3
Liga MX,230,5,3,6,5,3
Saudi League,536,5,3,6,5,3
Swiss superleague,20114,5,3,6,5,3
Belgium league 1,20102,5,3,6,5,3
Sweden - Allsvenskan,20123,5,3,6,5,3
Turkey league 1,20108,5,3,6,5,3
Argentina league 1,20106,5,3,6,5,3
China league 1,20012,5,3,6,5,3
Scotland league 1,20101,5,3,6,5,3
Greece - Super League,20110,5,3,6,5,3
England EFL cup,20125,5,3,6,5,3
England FA cup,132,5,3,6,5,3
Spain - La Liga 2,20116,5,3,6,5,3
Germany - Bundesliga 2,20115,5,3,6,5,3
AFC - Champions League,20128,5,3,6,5,3
CONCACAF - Champions Cup,20147,5,3,6,5,3
UEFA - Nations League Women,20148,5,3,6,5,3
Spain - Copa del Rey,138,5,3,6,5,3
DFB Pokal,209,5,3,6,5,3
Coppa Italia,141,5,3,6,5,3
Super Coppa Italia,20129,5,3,6,5,3
France Super Cup,20130,5,3,6,5,3
Spain supercopa,20131,5,3,6,5,3
German Super cup,20132,5,3,6,5,3
Portugal League Cup,20133,5,3,6,5,3
Portugal Taka Cup,20136,5,3,6,5,3
Thai League 1,20134,5,3,6,5,3
Netherlands Cup,20135,5,3,6,5,3
Canada - Premier League,20149,5,3,6,5,3
France Cup,134,5,3,6,5,3
EURO 2024,50,5,3,6,5,3
Copa America,44,5,3,6,5,3
UCL Qualification,10611,5,3,6,5,3
Europe League Qualification,10613,5,3,6,5,3
COnference League Qualification,10615,5,3,6,5,3
Australia A League,20113,5,3,6,5,3
China Super League,20112,5,3,6,5,3
Eurocup,20200,5,3,6,5,3
SPAIN_LIGA_ACB,20201,5,3,6,5,3
ITALY_LEGA_BASKET_SERIA_A,20202,5,3,6,5,3
GERMANY_BBL,20203,5,3,6,5,3
FRANCE_LNB_PRO_A,20204,5,3,6,5,3
CHINA_CBA,20205,5,3,6,5,3
AUSTRALIA_NBL,20206,5,3,6,5,3
JAPAN_B1_LEAGUE,20207,5,3,6,5,3
KOREA_BBL,20208,5,3,6,5,3
ENGLAND_BBL,20209,5,3,6,5,3
BIG3,20210,5,3,6,5,3
FIBA - Americup Qualifiers,20212,5,3,6,5,3
FIBA - Asia Cup Qualifiers,20213,5,3,6,5,3
FIBA - Eurobasket Qualifiers,20214,5,3,6,5,3
Greece - A1 League,20217,5,3,6,5,3
International - Champions League,20218,5,3,6,5,3
UFC PPV,901,5,3,6,5,3
UFC Non-Main,902,5,3,6,5,3
UFC APEX,703,5,3,6,5,3
UFC DW Contender,704,5,3,6,5,3
Boxing,10595,5,3,6,5,3
CS2,9977,5,3,6,5,3
DOTA2,9983,5,3,6,5,3
LOL,10138,5,3,6,5,3
Call of Duty,20298,5,3,6,5,3
Valorant,20300,5,3,6,5,3
Overwatch,20296,5,3,6,5,3
