leagueName,leagueId,mollyId
ABA League,20227,1256
Algeria Ligue 1,20604,623
Argentina Primera Division,20106,10003917
Australia A-League,20113,245
Australia A-League Women,20146,1265
Austria Bundesliga,20120,116
Belgium Challenger Pro League,20184,86
Belgium Pro League,20102,85
Brazil Serie A,268,209
Bulgaria Parva Liga,20507,280
Chile Primera Division,20104,296
Colombia Primera A,20124,697
Costa Rica Primera Division,20519,579
Croatia 1. HNL,20520,189
CS2,9977,
Cyprus First Division,20524,293
Czech Republic First League,20529,154
Denmark Superliga,20121,76
DOTA 2,9983,
Egypt Premier League,20538,186
England EFL Championship,20011,2
England EFL Cup,20125,24
England EPL,11,1
England League 1,20126,3
England League 2,20543,4
England Women's Super League,20137,2010
Eurocup,20200,1270
Euroleague,399,1184
FIBA Champions League,20218,63157
FIBA Europe Cup,20230,62511
France Coupe de France,134,43
France Ligue 1,12,38
France Ligue 2,20119,39
Germany Bundesliga,13,12
Germany Bundesliga 2,20115,13
Germany Bundesliga 3,20563,6114
Germany DFB Pokal,209,45
Greece Super League,20110,119
Hungary NB I,20572,175
Indonesia Liga 1,20583,1865
Ireland Premier League,20590,142
Israel Premier League,20593,567
Italy Coppa Italia,141,173
Italy Serie A,15,19
Italy Serie B,20117,20
Italy Serie C,20718,6716
LOL,10138,
Malta Premier League,20624,551
Mexico Liga MX,230,196
NBA,4,1182
NCAAB,5,1272
Netherlands Eerste Divisie,20634,82
Netherlands Eredivisie,57,81
NFL,2,545
NHL,6,1294
Northern Ireland Premiership,20639,310
Paraguay Primera Division,20649,780
Peru Primera Division,20651,727
Poland Ekstraklasa,20122,134
Portugal Primeira Liga,61,130
Portugal Segunda Liga,20657,10000693
Portugal Taca de Portugal,20136,544
Qatar Stars League,20659,461
Rainbow Six Siege,20293,
Romania Liga I,20661,167
Saudi Professional League,536,534
Scotland Championship,20669,9
Scotland Premiership,20101,8
Serbia Super Liga,20109,518
Slovenia PrvaLiga,20682,194
South Africa Premier League,20683,166
Spain Copa del Rey,138,46
Spain La Liga,14,16
Spain La Liga 2,20116,17
Spain Primera Federacion,20728,10004116
Switzerland Challenge League,20688,164
Switzerland Super League,20114,251
Thai League 1,20134,729
Turkey 1 Lig,20692,475
Turkey Super Lig,20108,160
UAE Pro League,20694,538
UEFA Champions League,16,28
UEFA Europa League,17,29
Uruguay Primera Division,20127,484
Valorant,20300,
Vietnam V League 1,20709,651
