sportName,sportId,typeId,minOdds,maxOdds,description
NCAAF,1,10001,175,225,
NCAAF,1,10002,175,225,
NCAAF,1,10017,175,225,
NCAAF,1,10018,175,225,
NCAAF,1,10061,175,225,
NCAAF,1,10062,175,225,
NCAAF,1,10071,175,225,
NCAAF,1,10072,175,225,
NCAAF,1,11051,120,500,
NCAAF,1,11052,120,500,
NCAAF,1,11053,120,500,
NCAAF,1,11055,120,500,
NCAAF,1,11057,120,500,
NFL,2,10001,130,450,
NFL,2,10002,130,450,
NFL,2,10017,130,450,
NFL,2,10018,130,450,
MLB,3,10001,120,400,
MLB,3,10002,120,400,
MLB,3,10017,120,400,
MLB,3,10018,120,400,
MLB,3,11214,130,320,
MLB,3,11215,130,320,
MLB,3,11217,110,600,
MLB,3,11218,130,320,
MLB,3,11219,130,320,
MLB,3,11220,130,320,
MLB,3,11221,110,600,
MLB,3,11222,130,320,
NBA,4,10001,150,250,
NBA,4,10002,150,250,
NBA,4,10031,150,250,
NBA,4,10032,150,250,
NBA,4,10033,150,250,
NBA,4,10034,150,250,
NBA,4,10041,150,250,
NBA,4,10042,150,250,
NBA,4,10043,150,250,
NBA,4,10044,150,250,
NBA,4,10061,150,250,
NBA,4,10062,150,250,
NBA,4,10071,150,250,
NBA,4,10072,150,250,
NBA,4,10111,150,250,
NBA,4,10112,150,250,
NBA,4,10118,150,250,
NBA,4,10119,150,250,
NBA,4,10211,150,250,
NBA,4,10212,150,250,
NBA,4,10218,150,250,
NBA,4,10219,150,250,
NBA,4,11098,120,400,
NBA,4,11228,120,400,
NBA,4,11229,120,400,
NBA,4,11230,120,400,
NCAAB,5,10001,170,220,
NCAAB,5,10002,170,220,
NCAAB,5,10017,170,220,
NCAAB,5,10018,170,220,
NCAAB,5,10111,170,220,
NCAAB,5,10112,170,220,
NCAAB,5,11098,120,400,
NCAAB,5,11228,120,400,
NCAAB,5,11229,120,400,
NCAAB,5,11230,120,400,
NHL,6,10001,120,400,
NHL,6,10002,130,300,
NHL,6,11100,115,6000,
WNBA,8,10001,170,230,
WNBA,8,10002,170,230,
WNBA,8,11029,120,350,
WNBA,8,11035,120,350,
WNBA,8,11038,120,350,
WNBA,8,11039,120,350,
League of Legends,10138,10001,120,400,
League of Legends,10138,10002,120,400,
England - Premier League,11,11039,110,1000,
England - Premier League,11,11097,110,1000,
England - Premier League,11,11100,110,1000,
England - Premier League,11,11234,110,300,
England - Premier League,11,11235,110,3000,
England - Premier League,11,11238,110,1000,
England - Premier League,11,11239,110,1000,
France - Ligue 1,12,11039,110,1000,
France - Ligue 1,12,11097,110,1000,
France - Ligue 1,12,11100,110,1000,
France - Ligue 1,12,11234,110,300,
France - Ligue 1,12,11235,110,3000,
France - Ligue 1,12,11238,110,1000,
France - Ligue 1,12,11239,110,1000,
Germany - Bundesliga,13,11039,110,1000,
Germany - Bundesliga,13,11097,110,1000,
Germany - Bundesliga,13,11100,110,1000,
Germany - Bundesliga,13,11234,110,300,
Germany - Bundesliga,13,11235,110,3000,
Germany - Bundesliga,13,11238,110,1000,
Germany - Bundesliga,13,11239,110,1000,
Spain - La Liga,14,11039,110,1000,
Spain - La Liga,14,11097,110,1000,
Spain - La Liga,14,11100,110,1000,
Spain - La Liga,14,11234,110,300,
Spain - La Liga,14,11235,110,3000,
Spain - La Liga,14,11238,110,1000,
Spain - La Liga,14,11239,110,1000,
Italy - Serie A,15,11039,110,1000,
Italy - Serie A,15,11097,110,1000,
Italy - Serie A,15,11100,110,1000,
Italy - Serie A,15,11234,110,300,
Italy - Serie A,15,11235,110,3000,
Italy - Serie A,15,11238,110,1000,
Italy - Serie A,15,11239,110,1000,
UEFA - Champions League,16,11097,110,1000,
UEFA - Champions League,16,11100,110,1000,
UEFA - Champions League,16,11234,110,300,
UEFA - Champions League,16,11235,110,3000,
UEFA - Champions League,16,11238,110,1000,
UEFA - Champions League,16,11239,110,1000,
UEFA - Champions League,16,11039,110,1000,
WTA,152,10001,130,310,
WTA,152,10002,130,310,
WTA,152,10013,130,310,
WTA,152,10014,130,310,
WTA,152,10031,130,310,
WTA,152,10032,130,310,
WTA,152,10033,130,310,
WTA,152,10041,130,310,
WTA,152,10042,130,310,
WTA,152,10043,130,310,
ATP,156,10001,130,310,
ATP,156,10002,130,310,
ATP,156,10013,130,310,
ATP,156,10014,130,310,
ATP,156,10031,130,310,
ATP,156,10032,130,310,
ATP,156,10033,130,310,
ATP,156,10041,130,310,
ATP,156,10042,130,310,
ATP,156,10043,130,310,
ATP,157,10001,130,310,
ATP,157,10002,130,310,
ATP,157,10013,130,310,
ATP,157,10014,130,310,
ATP,157,10031,130,310,
ATP,157,10032,130,310,
ATP,157,10033,130,310,
ATP,157,10041,130,310,
ATP,157,10042,130,310,
ATP,157,10043,130,310,
Euroleague,399,10001,175,215,
Euroleague,399,10002,175,215,
Euroleague,399,10017,180,200,
Euroleague,399,10018,180,200,
Euroleague,399,10031,175,215,
Euroleague,399,10032,175,215,
Euroleague,399,10041,175,215,
Euroleague,399,10042,175,215,
Euroleague,399,10061,175,215,
Euroleague,399,10062,175,215,
Euroleague,399,10071,175,215,
Euroleague,399,10072,175,215,
Euroleague,399,10118,180,200,
Euroleague,399,10119,180,200,
Euroleague,399,10218,180,200,
Euroleague,399,10219,180,200,
Eurocup,20200,10001,175,215,
Eurocup,20200,10002,175,215,
Spain - Liga ACB,20201,10001,175,215,
Spain - Liga ACB,20201,10002,175,215,
Italy - Lega Basket Serie A,20202,10001,175,215,
Italy - Lega Basket Serie A,20202,10002,175,215,
Germany - BBL,20203,10001,175,215,
Germany - BBL,20203,10002,175,215,
France - LNB Pro A20204,10001,175,215,
France - LNB Pro A20204,10002,175,215,
China - CBA,20205,10001,175,215,
China - CBA,20205,10002,175,215,
Australia - NBL,20206,10001,175,215,
Australia - NBL,20206,10002,175,215,
Greece - A1 League,20217,10001,175,215,
Greece - A1 League,20217,10002,175,215,
International - Champions League,20218,10001,175,215,
International - Champions League,20218,10002,175,215,
England - Premier League Darts,20320,10001,130,350,
England - Premier League Darts,20320,10002,130,350,
Czech Republic - Extraliga,310,10001,120,400,
Czech Republic - Extraliga,310,10002,145,265,
Czech Republic - Extraliga,310,10017,145,265,
Czech Republic - Extraliga,310,10018,145,265,
Czech Republic - Extraliga,310,10031,120,265,
Czech Republic - Extraliga,310,10041,120,400,
Finland - SM Liiga,319,10001,120,400,
Finland - SM Liiga,319,10002,145,265,
Finland - SM Liiga,319,10017,145,265,
Finland - SM Liiga,319,10018,145,265,
Finland - SM Liiga,319,10031,145,265,
Finland - SM Liiga,319,10041,120,400,
Russia - KHL,321,10001,120,400,
Russia - KHL,321,10002,145,265,
Russia - KHL,321,10017,145,265,
Russia - KHL,321,10018,145,265,
Russia - KHL,321,10031,145,265,
Russia - KHL,321,10041,120,400,
Germany - DEL,322,10001,120,400,
Germany - DEL,322,10002,145,265,
Germany - DEL,322,10017,145,265,
Germany - DEL,322,10018,145,265,
Germany - DEL,322,10031,145,265,
Germany - DEL,322,10041,120,400,
Austria - Ice Hockey League,323,10001,120,400,
Austria - Ice Hockey League,323,10002,145,265,
Austria - Ice Hockey League,323,10017,145,265,
Austria - Ice Hockey League,323,10018,145,265,
Austria - Ice Hockey League,323,10031,145,265,
Austria - Ice Hockey League,323,10041,120,400,
Sweden - SHL,324,10001,120,400,
Sweden - SHL,324,10002,145,265,
Sweden - SHL,324,10017,145,265,
Sweden - SHL,324,10018,145,265,
Sweden - SHL,324,10031,145,265,
Sweden - SHL,324,10041,120,400,
Switzerland - National League,327,10001,120,400,
Switzerland - National League,327,10002,145,265,
Switzerland - National League,327,10017,145,265,
Switzerland - National League,327,10018,145,265,
Switzerland - National League,327,10031,145,265,
Switzerland - National League,327,10041,120,400,
USA - AHL,328,10001,120,400,
USA - AHL,328,10002,145,265,
USA - AHL,328,10017,145,265,
USA - AHL,328,10018,145,265
USA - AHL,328,10031,145,265,
USA - AHL,328,10041,120,400,
IIHF - World Championship,33,10001,120,400,
IIHF - World Championship,33,10002,145,265,
IIHF - World Championship,33,10017,145,265,
IIHF - World Championship,33,10018,145,265,
IIHF - World Championship,33,10031,145,265,
IIHF - World Championship,33,10041,120,400,
AFL,9510,10001,150,250,
AFL,9510,10002,150,250,
CS2,9977,10001,120,400,
CS2,9977,10002,120,400,
CS2,9977,10031,120,400,
CS2,9977,10032,120,400,
CS2,9977,10033,120,400,
CS2,9977,10041,120,400,
CS2,9977,10042,120,400,
CS2,9977,10043,120,400,
Dota 2,9983,10001,120,400,
Dota 2,9983,10002,120,400,
Valorant,20300,10001,120,400,
Valorant,20300,10002,120,400,
Valorant,20300,10031,120,400,
Valorant,20300,10032,120,400,
Valorant,20300,10033,120,400,
Valorant,20300,10041,120,400,
Valorant,20300,10042,120,400,
Valorant,20300,10043,120,400,
