playerName,playerId,playerTeam,playerAbbreviationNames,isActive,comment
Jayson Tatum,944B6D4B694A,Boston Celtics,Jayson Tatum;J. Tatum;J.Tatum;Tatum Jayson,false,injury whole season
Jaylen Brown,C7D85481029D,Boston Celtics,Jaylen Brown;J. Brown;J.Brown;Brown Jaylen,true,
Kristaps Porzingis,FA629BAD3134,Atlanta Hawks,Kristaps Porzingis;K. Porzingis;K.Porzingis;Porzingis Kristaps,true,
Derrick White,55A30F7FC808,Boston Celtics,Derrick White;D. White;D.White;White Derrick,true,
Jrue Holiday,6F061BE081C4,Portland Trail Blazers,Jrue Holiday;J. Holiday;J.Holiday;Holiday Jrue,true,
Mikal Bridges,367773B6601D,New York Knicks,Mikal Bridges;Bridges Mikal,true,
Cam Thomas,CB3A47D7E7B5,Brooklyn Nets,Cam Thomas;C. Thomas;C.Thomas;Thomas Cam,true,
Ben Simmons,D5C59A963E8C,Los Angeles Clippers,Ben Simmons;B. Simmons;B.Simmons;Simmons Ben,true,
Dorian Finney-Smith,8C7E63063F9B,Houston Rockets,Dorian Finney-Smith;D. Finney-Smith;D.Finney-Smith;Finney-Smith Dorian,true,
Spencer Dinwiddie,2D1810152804,Charlotte Hornets,Spencer Dinwiddie;S. Dinwiddie;S.Dinwiddie;Dinwiddie Spencer,true,
Jalen Brunson,21B5AD38CE3D,New York Knicks,Jalen Brunson;J. Brunson;J.Brunson;Brunson Jalen,true,
Julius Randle,CED163F3F032,Minnesota Timberwolves,Julius Randle;J. Randle;J.Randle;Randle Julius,true,
Mitchell Robinson,16C71BA69D30,New York Knicks,Mitchell Robinson;M. Robinson;M.Robinson;Robinson Mitchell,true,
R.J. Barrett,B05F49FE7024,Toronto Raptors,R.J. Barrett;R. Barrett;R.Barrett;Barrett R.J.,true,
Scottie Barnes,0497CAEAD35C,Toronto Raptors,Scottie Barnes;S. Barnes;S.Barnes;Barnes Scottie,true,
Pascal Siakam,73275976F8ED,Indiana Pacers,Pascal Siakam;P. Siakam;P.Siakam;Siakam Pascal,true,
O.G. Anunoby,3F8B2DD8AF32,New York Knicks,O.G. Anunoby;O. Anunoby;O.Anunoby;Anunoby O.G.,true,
Dennis Schroder,7967E135B942,Sacramento Kings,Dennis Schroder;D. Schroder;D.Schroder;Schroder Dennis,true,
Tyrese Maxey,7879697610D8,Philadelphia 76ers,Tyrese Maxey;T. Maxey;T.Maxey;Maxey Tyrese,true,
Tobias Harris,BAF72287ADC1,Detroit Pistons,Tobias Harris;T. Harris;T.Harris;Harris Tobias,true,
Joel Embiid,0926C6680D09,Philadelphia 76ers,Joel Embiid;J. Embiid;J.Embiid;Embiid Joel,true,
Kelly Oubre,1C69A2700F03,Philadelphia 76ers,Kelly Oubre;K. Oubre;K.Oubre;Oubre Kelly,true,
Coby White,D915C3B82B04,Chicago Bulls,Coby White;C. White;C.White;White Coby,true,
Zach LaVine,C786E5C3CE0C,Sacramento Kings,Zach LaVine;Z. LaVine;Z.LaVine;LaVine Zach,true,
DeMar DeRozan,4B75CA28FA43,Sacramento Kings,DeMar DeRozan;D. DeRozan;D.DeRozan;DeRozan DeMar,true,
Nikola Vucevic,A0D71A41A221,Chicago Bulls,Nikola Vucevic;N. Vucevic;N.Vucevic;Vucevic Nikola,true,
Darius Garland,580C5919659E,Cleveland Cavaliers,Darius Garland;D. Garland;D.Garland;Garland Darius,true,
Donovan Mitchell,B82A4A0D260A,Cleveland Cavaliers,Donovan Mitchell;D. Mitchell;D.Mitchell;Mitchell Donovan,true,
