sportName,sportId,seasonType,seasonYear,seasonWeek,leagueName,teamNames,comment
ATP,156,Brisbane Australia Qualifying;Brisbane Australia;Hong Kong Hong Kong Qualifying;Hong Kong Hong Kong;Acapulco Mexico Qualifying;Acapulco Mexico;Dubai UAE Qualifying;Dubai UAE;Delray Beach USA;Delray Beach USA Qualifying;Rio de Janeiro Brazil;Doha Qatar;Rio de Janeiro Brazil Qualifying;Doha Qatar Qualifying;Santiago Chile;Santiago Chile Qualifying;Indian Wells USA;Indian Wells USA Qualifying;Miami USA;Miami USA Qualifying;Houston USA;Houston USA Qualifying;Marrakech Morocco;Marrakech Morocco Qualifying;Bucharest Romania;Bucharest Romania Qualifying;Monte Carlo Monaco;Monte Carlo Monaco Qualifying;Barcelona Spain;Munich Germany;Munich Germany Qualifying;Barcelona Spain Qualifying;Tokyo Japan;Beijing China;Tokyo Japan Qualifying;Beijing China Qualifying;Madrid Spain;Madrid Spain Qualifying;Rome Italy Qualifying;Rome Italy;Hamburg Germany;Hamburg Germany Qualifying;Geneva Switzerland;Geneva Switzerland Qualifying;French Open Paris France Qualifying;French Open Paris France;S-Hertogenbosch Netherlands;Stuttgart Germany;S-Hertogenbosch Netherlands Qualifying;Stuttgart Germany Qualifying;Halle Germany Qualifying;Halle Germany;London Great Britain Qualifying;London Great Britain;Wimbledon London Great Britain;Wimbledon London Great Britain Qualifying;Mallorca Spain;Mallorca Spain Qualifying;Eastbourne Great Britain;Eastbourne Great Britain Qualifying;Washington United States;Washington United States Qualifying;Los Cabos Mexico;Gstaad Switzerland;Bastad Sweden;Kitzbuhel Austria;Umag Croatia;Los Cabos Mexico Qualifying;Gstaad Switzerland Qualifying;Bastad Sweden Qualifying;Kitzbuhel Austria Qualifying;Umag Croatia Qualifying;Washington USA Qualifying;Washington USA;Toronto Canada;Toronto Canada Qualifying;Cincinnati USA;Cincinnati USA Qualifying;Winston Salem USA;Winston Salem USA Qualifying;US Open New York USA;US Open New York USA Qualifying;Chengdu China;Hangzhou China;Chengdu China Qualifying;Hangzhou China Qualifying;Shanghai China;Shanghai China Qualifying;Almaty Kazakhstan;Brussels Belgium;Stockholm Sweden;Almaty Kazakhstan Qualifying;Brussels Belgium Qualifying;Stockholm Sweden Qualifying;Vienna Austria;Basel Switzerland;Vienna Austria Qualifying;Basel Switzerland Qualifying;Paris France;Paris France Qualifying;Athens Greece;Metz France;Athens Greece Qualifying;Metz France Qualifying;Tour Finals Turin Italy Group Jimmy Connors;Tour Finals Turin Italy Group Bjorn Borg;Tour Finals Turin Italy;Auckland New Zealand Qualifying;Auckland New Zealand;Adelaide Australia Qualifying;Adelaide Australia;Australian Open Melbourne Australia Qualifying;Australian Open Melbourne Australia;Montpellier France;Montpellier France Qualifying;Dallas USA;Rotterdam Netherlands;Dallas USA Qualifying;Rotterdam Netherlands Qualifying;Buenos Aires Argentina;Buenos Aires  Argentina Qualifying,,finals;semifinals;quarterfinals;round of 16;round of 32;round of 64;round of 128;group stage;1st qualifying round;2nd qualifying round;3rd qualifying round;4th qualifying round;qualification,,,
WTA,152,Brisbane Australia Qualifying;Brisbane Australia;Auckland New Zealand Qualifying;Auckland New Zealand;Canberra Australia Qualifying;Canberra Australia;Merida Mexico;Merida Mexico Qualifying;Austin USA;Austin USA Qualifying;Dubai UAE;Dubai UAE Qualifying;Indian Wells USA;Indian Wells USA Qualifying;Miami USA;Miami USA Qualifying;Charleston USA;Charleston USA Qualifying;Bogota Colombia;Bogota Colombia Qualifying;Linz Austria;Linz Austria Qualifying;Stuttgart Germany;Stuttgart Germany Qualifying;Rouen France;Rouen France Qualifying;Oeiras 1 Portugal;Madrid Spain;Madrid Spain Qualifying;Saint Malo France;Vic Spain;Rome Italy Qualifying;Rome Italy;Beijing China;Beijing China Qualifying;Jingshan China;Jingshan China Qualifying;Paris France;Parma Italy;Parma Italy Qualifying;Strasbourg France Qualifying;Strasbourg France;Rabat Morocco;Rabat Morocco Qualifying;French Open Paris France Qualifying;French Open Paris France;Birmingham Great Britain;Bari Italy;Makarska Croatia;Birmingham Great Britain Qualifying;Bari Italy Qualifying;Makarska Croatia Qualifying;S-Hertogenbosch Netherlands;S-Hertogenbosch Netherlands Qualifying;London Great Britain;London Great Britain Qualifying;Ilkley Great Britain;Grado Italy;Valencia Spain;Ilkley Great Britain Qualifying;Grado Italy Qualifying;Valencia Spain Qualifying;Berlin Germany Qualifying;Berlin Germany;Nottingham Great Britain Qualifying;Nottingham Great Britain;Wimbledon London Great Britain;Wimbledon London Great Britain Qualifying;Bad Homburg Germany;Bad Homburg Germany Qualifying;Eastbourne Great Britain;Eastbourne Great Britain Qualifying;Newport Ri United States;Bastad Sweden;Contrexeville France;Newport Ri United States Qualifying;Bastad Sweden Qualifying;Contrexeville France Qualifying;Newport Ri United States;Bastad Sweden;Contrexeville France;Newport Ri United States Qualifying;Bastad Sweden Qualifying;Contrexeville France Qualifying;Hamburg Germany;Iasi Romania;Prague Czech Republic;Hamburg Germany Qualifying;Iasi Romania Qualifying;Prague Czech Republic Qualifying;Washington DC DC United States;Washington DC DC United States Qualifying;Porto Portugal;Palermo Italy;Porto Portugal Qualifying;Palermo Italy Qualifying;Washington USA Qualifying;Washington USA;Montreal Canada;Montreal Canada Qualifying;Warsaw Poland;Warsaw Poland Qualifying;Cincinnati USA;Cincinnati USA Qualifying;Cleveland USA;Cleveland USA Qualifying;Monterrey Mexico;Monterrey Mexico Qualifying;US Open New York USA;US Open New York USA Qualifying;Montreux Switzerland;Changsha China;Guadalajara Mexico;Montreux Switzerland Qualifying;Changsha China Qualifying;Guadalajara Mexico Qualifying;Guadalajara Mexico;Guadalajara Mexico Qualifying;Sao Paulo Brazil;Sao Paulo Brazil Qualifying;Ljubljana Slovenia;Huzhou China;San Sebastian Spain;Ljubljana Slovenia Qualifying;Huzhou China Qualifying;San Sebastian Spain Qualifying;Seoul Korea Republic;Seoul Korea Republic Qualifying;Tolentino Italy;Caldas Da Rainha Portugal;Tolentino Italy Qualifying;Caldas Da Rainha Portugal Qualifying;Rende Italy;Suzhou China;Samsun Turkey;Rende Italy Qualifying;Suzhou China Qualifying;Samsun Turkey Qualifying;Wuhan China;Wuhan China Qualifying;Mallorca Spain;Mallorca Spain Qualifying;Ningbo China;Ningbo China Qualifying;Osaka Japan;Osaka Japan Qualifying;Jinan China;Rio De Janeiro Brazil;Tampico Mexico;Jinan China Qualifying;Rio De Janeiro Brazil Qualifying;Tampico Mexico Qualifying;Tokyo Japan;Tokyo Japan Qualifying;Guangzhou China;Guangzhou China Qualifying;Rovereto Italy;Queretaro Mexico;Florianopolis Brazil;Rovereto Italy Qualifying;Queretaro Mexico Qualifying;Florianopolis Brazil Qualifying;Hong Kong Hong Kong Qualifying;Hong Kong Hong Kong;Jiujiang China Qualifying;Jiujiang China;Chennai India Qualifying;Chennai India;Cali Colombia;Cali Colombia Qualifying;WTA Tour Finals Serena Williams Group;WTA Tour Finals Stefanie Graf Group;Tucuman Argentina Qualifying;Tucuman Argentina;Austin USA;Austin USA Qualifying;WTA Tour Finals;Buenos Aires Argentina;Buenos Aires Argentina Qualifying;Colina Chile; Colina Chile Qualifying;Angers France;Quito Ecuador;Angers France Qualifying;Quito Ecuador Qualifying;Limoges France;Limoges France Qualifying;Hobart Australia Qualifying;Hobart Australia;Adelaide Australia Qualifying;Adelaide Australia;Australian Open Melbourne Australia Qualifying;Australian Open Melbourne Australia;Manila Philippines;Manila Philippines Qualifying;Abu Dhabi UAE;Abu Dhabi UAE Qualifying;Cluj Napoca Romania;Cluj Napoca Romania Qualifying;Ostrava Czech Republic;Ostrava Czech Republic Qualifying;Mumbai India;Mumbai India Qualifying;Doha Qatar;Doha Qatar Qualifying;Oeiras 1 Portugal Qualifying;Midland USA;Oeiras 2 Portugal;Les Sables D'Olonne France;Midland USA Qualifying;Oeiras 2 Portugal Qualifying;Les Sables D'Olonne France Qualifying,,finals;semifinals;quarterfinals;round of 16;round of 32;round of 64;round of 128;group stage;1st qualifying round;2nd qualifying round;3rd qualifying round;4th qualifying round;qualification,,,
CS2,9977,PGL Major;IEM;ESL Pro League;BLAST Premier;YaLLa Compass;BetBoom Dacha;Esports World Cup;Perfect World Major;BLAST Open;PGL;CCT Global Finals;BLAST Rivals;MESA Nomadic Masters;FiReLEAGUE;Dust2.us;ESL Challenger League;Thunderpick World Championship;CCT Europe;Rainbet Cup;Galaxy Battle;European Pro League;Y-Games PRO Series;BLAST.tv Major;ESEA;Odyssey Cup;United21;Exort The Proving Grounds;CCT South America;BtcTurk GameFest;FISSURE PLAYGROUND;CCT Oceania;Winline Insight;Gamers Club Liga Série A;Whale.io Cup;Exort Series;IESF World Championship;BLAST Bounty;StarLadder StarSeries;CCT North America;Circuito FERJEE;DraculaN;Tipsport Cup;ESL Impact League;Birch Cup;NODWIN Clutch Series;T-esports Championship;Asia Championships;Chennai Esports Global Championship;PGL Masters;Circuit X Retake São Paulo;Female Pro League;Red Bull GIBAWAY JOURNEY;CBCS Masters;Monsters Reloaded;Rainhas do Clutch FERJEE;Dust2.dk Ligaen;StarLadder Major;Elisa Open Suomi;Wraith TESFED;SHAIQAS;Dfrag Open Series;eXTREMESLAND;Exort Meteor;Roman Imperium Cup;Betclic Clash;Cajunto Copa do Brasil;Fragadelphia;fl0m's Mythical LAN;BetBoom RUSH B!;PLAYR Masters;Circuit X;Zhi-Tech Elite Masters;United21 x Esplay Challenge;FiReCONTER;Copenhagen Gaming Week;IstanbuLAN,,,,,
Dota 2,9983,BetBoom Dacha;DreamLeague;ESL One;Elite League;PGL;Riyadh Masters;Clavision Snow Ruyi Invitational;The International;BLAST Slam;FISSURE Universe;European Pro League;Esports World Cup;CCT;CIS Battle;EPL World Series;FISSURE PLAYGROUND;Games of the Future;EPL Championship,,,,,
League of Legends,10138,LEC;LCK;LCS;LPL;Mid-Season Invitational;Worlds;LCP;Road Of Legends;LTA South;LTA North;LFL;Prime League 1st Division;North American Challengers League;LPLOL;LVP SL;Road Of Legends;LJL;TCL;Hitpoint Masters;Circuito Desafiante;EBL;LCK Challengers League;NLC;EMEA Masters;Asia Masters;Prime League 1st Division;LIT;Prime Pokal;Esports World Cup;NNO Cup;Rift Legends;Arabian League;HLL;LRS;LTA;Asia Invitational;LGC Rising;Iberian Cup;Esports Championships Asia;Red Bull League of Its Own;KeSPA Cup;GAMEON Revival;Demacia Cup;CBLOL;Comedy Central Winter Snowdown;LES,,,,,
Valorant,20300,VCT;Esports World Cup;VCL;BtcTurk GameFest;BtcTurk GameFest;A1 Esport Valorant Cup;Tixinha & Sacy Invitational By Bonoxs;TEN Valorant Global Invitational;China Evolution Series;SOOP Valorant League;Saudi eLeague;Sentinels Invitational;Esports Shanghai Masters;Project Blender;CHALLENGERS SHOWDOWN;VALORANT Radiant International Invitational;Asia Pacific Predator League,,,,,
Call of Duty,20298,Call of Duty League,,,,,
Starcraft,20299,RSL Revival;Esports World Cup;Maestros of the Game;WardiTV;SOOP Invitational,,,,,
Mobile Legends Bang Bang,20295,Mid Season Cup;MPL Indonesia;MPL Philippines;MPL Malaysia;MPL Cambodia;MLBB Super League Myanmar;MLBB Continental Championships;Games of the Future;World Championship,,,,,
Rainbow Six Siege,20293,Asia-Pacific League;Europe MENA League;North America League;South America League;Esports World Cup;BLAST R6 Major;Europe MENA League;GVC Pioneer;Six Invitational,,,,,
