sport,sportId,typeId,positionIndex,positionName,size,combinedTypeIds,combinedPlayerIds,combinedLines,combinedPositions,enabled
,11,90000,0,Home | Moneyline + Total Goals Over,2,0;10002,[]:[],0;null,0;0,true
,11,90000,1,Home | Moneyline + Total Goals Over + Player Goals Over,3,0;10002;11100,[]:[]:[],0;null;null,0;0;0,true
,11,90000,2,Home | 1st Half Moneyline + 1st Half Total Goals Over,2,10021;10031,[]:[],0;null,0;0,true
,11,90000,3,Home | Moneyline + 1st Half Total Goals Over,2,0;10031,[]:[],0;null,0;0,true
,11,90001,0,Away | Moneyline + Total Goals Over,2,0;10002,[]:[],0;null,1;0,true
,11,90001,1,Away | Moneyline + Total Goals Over + Player Goals Over,3,0;10002;11100,[]:[]:[],0;null;null,1;0;0,true
,11,90001,2,Away | 1st Half Moneyline + 1st Half Total Goals Over,2,10021;10031,[]:[],0;null,1;0,true
,11,90001,3,Away | Moneyline + 1st Half Total Goals Over,2,0;10031,[]:[],0;null,1;0,true
,11,90002,0,Mixed | Moneyline (Home) + Both Teams To Score (Yes),2,0;10009,[]:[],0;null,0;0,true
,11,90002,1,Mixed | Moneyline (Away) + Both Teams To Score (Yes),2,0;10009,[]:[],0;null,1;0,true
,11,90002,2,Mixed | Total Goals Over + Total Corners Over,2,10002;10222,[]:[],2.5;9.5,0;0,true
,11,90002,3,Mixed | Total Goals Over + Total Goals Under,2,10002;10002,[]:[],2.5;4.5,0;1,true
,11,90002,4,Mixed | Total Goals Over + Total Goals Under,2,10002;10002,[]:[],1.5;3.5,0;1,true
,11,90002,5,Mixed | Total Goals Over + Both Teams To Score (Yes),2,10002;10009,[]:[],2.5;null,0;0,true
,11,90002,6,Mixed | Total Goals Over + Both Teams To Score (Yes),2,10002;10009,[]:[],3.5;null,0;0,true
,11,90002,7,Mixed | Moneyline (Draw) + Both Teams To Score (Yes),2,0;10009,[]:[],0;null,2;0,true
,2,90000,0,Home | Moneyline + Total Points Over,2,0;10002,[]:[],0;null,0;0,true
,2,90000,1,Home | Moneyline + Total Points Over + Player Touchdowns Over,3,0;10002;11055,[]:[]:[],0;null;null,0;0;0,true
,2,90000,2,Home | Moneyline + Total Goals Over + Player Passing Yards Over,3,0;10002;11051,[]:[]:[],0;null;null,0;0;0,true
,2,90001,0,Away | Moneyline + Total Points Over,2,0;10002,[]:[],0;null,1;0,true
,2,90001,1,Away | Moneyline + Total Points Over + Player Touchdowns Over,3,0;10002;11055,[]:[]:[],0;null;null,1;0;0,true
,2,90001,2,Away | Moneyline + Total Goals Over + Player Passing Yards Over,3,0;10002;11051,[]:[]:[],0;null;null,1;0;0,true
,2,90002,0,Mixed | Total Points Over + Player Touchdowns Over,2,10002;11055,[]:[],0;null,0;0,true
,1,90000,0,Home | Moneyline + Total Points Over,2,0;10002,[]:[],0;null,0;0,true
,1,90000,1,Home | Moneyline + Total Points Over + Player Touchdowns Over,3,0;10002;11055,[]:[]:[],0;null;null,0;0;0,true
,1,90000,2,Home | Moneyline + Total Goals Over + Player Passing Yards Over,3,0;10002;11051,[]:[]:[],0;null;null,0;0;0,true
,1,90000,3,Home | Moneyline + Player Passing Yards Over + Player Rushing Yards Over,3,0;11051;11053,[]:[]:[],0;null;null,0;0;0,true
,1,90000,4,Home | Moneyline + Player Passing Yards Over + Player Receiving Yards Over,3,0;11051;11057,[]:[]:[],0;null;null,0;0;0,true
,1,90001,0,Away | Moneyline + Total Points Over,2,0;10002,[]:[],0;null,1;0,true
,1,90001,1,Away | Moneyline + Total Points Over + Player Touchdowns Over,3,0;10002;11055,[]:[]:[],0;null;null,1;0;0,true
,1,90001,2,Away | Moneyline + Total Goals Over + Player Passing Yards Over,3,0;10002;11051,[]:[]:[],0;null;null,1;0;0,true
,1,90001,3,Away | Moneyline + Player Passing Yards Over + Player Rushing Yards Over,3,0;11051;11053,[]:[]:[],0;null;null,1;0;0,true
,1,90001,4,Away | Moneyline + Player Passing Yards Over + Player Receiving Yards Over,3,0;11051;11057,[]:[]:[],0;null;null,1;0;0,true
,1,90002,0,Mixed | Total Points Over + Player Touchdowns Over,2,10002;11055,[]:[],0;null,0;0,true
