sportId,sportName,sgpEnabled
1,NCAAF,true
2,NFL,true
3,MLB,true
4,NBA,true
5,NCAAB,true
6,NHL,true
8,WNBA,false
9,PFL,false
10,MLS,true
11,EPL,true
12,FRA1,true
13,GER1,true
14,ESP1,true
15,ITA1,true
16,UEFA CL,true
17,UEFA EL,true
18,FIFA Q,true
19,JPN1,true
20,India - IPL,false
21,England - T20 Blast,false
22,FIFA WC,true
33,IIHF - World Championship,false
44,Copa America,true
45,Copa Libertadores,true
50,EURO 2024,false
57,NET1,true
61,POR1,true
132,England FA cup,true
134,France Cup,true
138,Spain - Copa del Rey,true
141,Coppa Italia,false
150,United Cup,false
151,Six Kings Slam,false
154,Davis Cup,false
155,ITF Women,false
157,ATP Challenger,true
159,ITF Men,false
209,DFB Pokal,true
230,Liga MX,true
268,Brazil,true
296,FIFA - World Cup U20,false
301,NPB,false
302,KBO,false
303,College Baseball,true
304,CPBL,false
305,USA - MLB All Star,false
306,Mexico - LMB,false
310,Czech Republic - Extraliga,false
311,NCAAH,false
312,Champions Hockey League,false
313,Canada - OHL,false
314,Canada - QMJHL,false
315,Canada - QMJHL,false
316,Olympics Hockey Men,false
317,Olympics Hockey Women,false
319,Finland - SM Liiga,false
321,Russia - KHL,false
322,Germany - DEL,false
323,Austria - Ice Hockey League,false
324,Sweden - SHL,false
327,Switzerland - National League,false
328,USA - AHL,false
329,Belarus - Extraliga,false
330,Poland - Polska Hokej Liga,false
331,Denmark - Superisligaen,false
332,Norway - Elitehockeyligaen,false
333,Latvia - Hockey League,false
334,France - Ligue Magnus,false
377,EHF - European Championship,false
379,North Macedonia - Super Liga,false
382,Croatia - HB Premijer Liga,false
383,EHF - Champions League,false
384,EHF - Champions League Women,false
385,EHF - European League,false
386,France - LNH Division 1,false
387,Germany - HBL,false
388,Hungary - HNB I,false
389,Iceland - Urvalsdeild,false
390,IHF - World Championship,false
391,Norway - HB 1. Divisjon,false
392,Poland - Superliga,false
393,Russia - Super League,false
394,Serbia - Superliga,false
395,Slovakia - HB Extraliga,false
396,Slovenia - 1. Liga,false
397,Spain - ASOBAL,false
398,Sweden - Handbollsligan,false
399,Euroleague,true
400,USA - NBA Summer League,false
405,USA - NBA All Star,false
536,Saudi League,false
701,UFC PPV,false
702,UFC Non-Main,false
703,UFC APEX,false
704,UFC DW Contender,false
1000,Olympics Curling Men,false
1001,Olympics Curling Women,false
1002,Olympics Curling Mixed,false
8893,Olympics Volleyball Women,false
8894,Olympics Volleyball Men,false
8909,Olympics Table Tennis Women,false
8910,Olympics Table Tennis Men,false
8911,Czech Republic - TT Cup Men,false
8912,Czech Republic - TT Liga Pro Men,false
8913,Poland - TT Elite Series Men,false
8914,WTT Men,false
9196,Boxing,false
9500,Australia - NRL,false
9501,England - Super League,false
9502,Oceania - Super Rugby,false
9503,International - Six Nations,false
9510,AFL,false
9520,CFL,false
9521,UFL,false
9806,UEFA Nations League,true
9977,CS2,true
9983,DOTA2,true
10138,LOL,true
10216,UEFA Conference,true
10595,Boxing - Non-Title (deprecated),false
10611,UCL Qualification,false
10613,Europe League Qualification,false
10615,Conference League Qualification,false
15210,Tennis WTA GS unknown round,false
15211,Tennis WTA GS Qualification,true
15212,Tennis WTA GS 1st round,true
15213,Tennis WTA GS 2nd round,true
15214,Tennis WTA GS 3rd round,true
15215,Tennis WTA GS 4th round,true
15216,Tennis WTA GS quarterfinals,true
15217,Tennis WTA GS semifinals,true
15218,Tennis WTA GS finals,true
15220,Tennis WTA1000 unknown round,false
15221,Tennis WTA1000 Qualification,true
15222,Tennis WTA1000 1st round,true
15223,Tennis WTA1000 2nd round,true
15224,Tennis WTA1000 3rt round,true
15225,Tennis WTA1000 4th round,true
15226,Tennis WTA1000 quarterfinals,true
15227,Tennis WTA1000 semifinals,true
15228,Tennis WTA1000 finals,true
15230,Tennis WTA500 unknown round,false
15231,Tennis WTA500 Qualification,true
15232,Tennis WTA500 1st round,true
15233,Tennis WTA500 2nd round,true
15234,Tennis WTA500 3rt round,true
15235,Tennis WTA500 4th round,true
15236,Tennis WTA500 quarterfinals,true
15237,Tennis WTA500 semifinals,true
15238,Tennis WTA500 finals,true
15240,Tennis WTA250 unknown round,false
15241,Tennis WTA250 Qualification,true
15242,Tennis WTA250 1st round,true
15243,Tennis WTA250 2nd round,true
15244,Tennis WTA250 3rt round,true
15245,Tennis WTA250 4th round,true
15246,Tennis WTA250 quarterfinals,true
15247,Tennis WTA250 semifinals,true
15248,Tennis WTA250 finals,true
15610,Tennis ATP GS unknown round,false
15611,Tennis ATP GS Qualification,true
15612,Tennis ATP GS 1st round,true
15613,Tennis ATP GS 2nd round,true
15614,Tennis ATP GS 3rt round,true
15615,Tennis ATP GS 4th round,true
15616,Tennis ATP GS quarterfinals,true
15617,Tennis ATP GS semifinals,true
15618,Tennis ATP GS finals,true
15620,Tennis ATP1000 unknown round,false
15621,Tennis ATP1000 Qualification,true
15622,Tennis ATP1000 1st round,true
